attendance,study_hours,past_failures,assignments_completed_pct,parental_education,family_income,extracurricular,internet_access,previous_grade,final_score
60.62,1.49,3,43.92,Secondary,Medium,Yes,Yes,85.34,31.19
70.63,5.77,3,87.49,Secondary,Low,No,Yes,100.0,67.41
97.16,7.06,1,80.56,Secondary,Low,No,No,99.28,97.27
100.0,5.02,3,79.31,Primary,Low,No,Yes,100.0,90.83
69.64,1.68,2,83.08,Higher,Low,Yes,No,73.67,54.35
100.0,4.43,2,40.37,Primary,High,Yes,Yes,100.0,50.84
86.04,4.41,0,66.52,Secondary,High,Yes,Yes,65.86,63.68
78.33,2.19,0,100.0,Primary,Medium,Yes,Yes,90.0,87.84
100.0,0.81,0,91.81,none,Medium,Yes,Yes,41.43,62.89
83.23,0.91,4,55.78,Higher,High,No,Yes,100.0,58.07
71.62,8.53,5,68.82,none,Low,Yes,Yes,80.07,31.45
95.89,2.92,2,66.46,none,Low,Yes,Yes,71.57,54.94
44.23,2.83,0,63.18,Higher,Medium,Yes,Yes,49.18,54.56
69.52,12.42,0,68.51,Secondary,Medium,Yes,Yes,97.57,75.99
81.54,3.0,1,52.38,Primary,Low,No,Yes,100.0,66.46
92.98,11.43,1,21.92,Secondary,Low,Yes,Yes,82.11,74.96
81.03,11.58,0,45.23,Secondary,Low,No,Yes,17.87,51.12
42.77,4.94,0,74.59,Secondary,Low,No,Yes,47.43,46.36
52.88,7.74,2,60.07,Secondary,Medium,No,Yes,89.13,52.96
64.22,1.24,1,30.02,Secondary,Medium,Yes,Yes,100.0,29.32
81.04,1.64,2,100.0,none,Low,No,No,62.5,52.26
42.58,8.91,3,85.25,Higher,Medium,Yes,Yes,80.61,42.97
100.0,11.78,2,100.0,Secondary,High,Yes,No,74.3,78.63
82.82,8.32,2,66.29,Secondary,Low,No,Yes,93.01,86.7
82.14,4.47,2,84.01,Secondary,Low,Yes,Yes,30.73,76.63
70.67,4.43,3,96.97,Secondary,Medium,No,No,94.93,59.09
38.92,5.93,0,76.19,Primary,Low,Yes,Yes,98.2,54.34
77.27,10.02,1,79.58,Primary,Medium,No,Yes,56.0,75.67
93.71,3.9,0,38.02,Secondary,Medium,Yes,Yes,70.56,55.91
71.17,4.87,2,95.85,Secondary,Low,Yes,Yes,60.55,77.51
100.0,8.47,4,100.0,Secondary,Medium,No,Yes,72.88,81.44
73.44,10.26,0,66.41,Primary,Low,Yes,Yes,46.2,61.45
92.4,5.07,0,70.19,Higher,Low,Yes,Yes,88.68,56.58
72.23,4.17,0,100.0,Primary,Low,No,Yes,68.34,76.53
84.48,3.92,2,100.0,Secondary,Medium,Yes,Yes,69.36,82.59
96.7,9.34,0,68.33,Secondary,Low,No,Yes,100.0,70.9
47.99,6.86,4,100.0,Higher,Low,No,Yes,98.91,69.56
91.18,3.03,2,100.0,Secondary,High,Yes,Yes,81.46,72.27
100.0,13.29,0,33.42,Primary,Low,Yes,No,72.46,75.0
100.0,8.37,1,50.23,none,Low,Yes,Yes,51.07,75.62
76.78,6.8,1,81.06,Secondary,Medium,Yes,Yes,63.85,83.94
22.52,5.99,1,42.66,Primary,Low,Yes,Yes,56.6,31.78
30.48,3.91,3,60.22,Secondary,High,Yes,No,96.81,36.1
52.82,0.0,0,65.37,Secondary,High,No,No,100.0,65.05
100.0,9.73,3,100.0,Higher,Low,No,Yes,68.06,88.31
100.0,3.78,0,56.2,Secondary,Medium,No,Yes,99.27,89.75
64.84,3.99,1,16.87,Secondary,Medium,No,Yes,100.0,47.72
76.33,5.28,0,58.24,Secondary,Low,Yes,Yes,74.4,41.2
10.47,4.01,2,81.03,Higher,Medium,No,Yes,25.99,31.6
91.28,10.81,2,83.26,Secondary,Low,Yes,No,100.0,100.0
78.36,,4,89.3,Higher,Low,Yes,Yes,84.23,60.94
68.75,4.48,3,60.03,none,Medium,No,Yes,77.67,31.68
50.91,0.37,2,83.75,Secondary,Low,No,Yes,80.16,39.02
66.19,2.8,3,89.42,Higher,Low,No,Yes,100.0,59.98
41.37,4.25,1,71.69,Higher,Low,No,No,68.45,48.2
53.48,10.65,2,68.13,Secondary,High,Yes,Yes,58.89,72.2
43.23,4.82,3,70.75,Secondary,Low,No,Yes,82.29,44.17
49.58,7.22,0,69.28,Secondary,Low,No,Yes,52.51,72.5
46.12,2.14,2,53.5,Primary,Low,No,Yes,23.3,37.23
89.43,5.36,0,56.1,Higher,Medium,No,No,100.0,67.33
46.25,5.56,1,72.64,Secondary,Low,Yes,Yes,81.47,37.43
73.69,0.0,2,100.0,Higher,Low,Yes,Yes,86.26,60.9
47.7,4.15,0,72.27,Primary,Low,No,Yes,87.48,50.64
48.68,11.45,1,45.95,Secondary,High,Yes,Yes,15.13,63.58
47.7,3.57,0,74.72,Higher,High,Yes,Yes,60.25,47.47
99.44,10.99,1,52.07,Higher,Low,Yes,Yes,100.0,96.38
70.44,10.44,1,49.88,Secondary,Low,Yes,Yes,69.31,59.17
56.32,0.65,2,69.83,Secondary,Low,Yes,Yes,66.78,52.2
49.9,3.95,0,100.0,none,Low,Yes,Yes,100.0,70.65
41.39,0.0,3,72.58,Secondary,Medium,Yes,Yes,72.89,46.49
57.04,5.8,1,64.95,Secondary,Medium,Yes,Yes,57.69,61.05
39.09,13.74,0,54.64,Primary,Medium,No,Yes,82.31,64.93
64.13,11.69,4,100.0,Primary,Low,Yes,Yes,33.72,69.55
57.3,6.06,2,72.86,Secondary,High,Yes,No,100.0,73.44
55.52,5.5,1,40.6,Secondary,Medium,Yes,Yes,81.83,39.81
100.0,14.24,1,63.07,Primary,High,No,Yes,46.06,87.96
68.9,2.19,3,73.18,Secondary,Medium,No,Yes,92.74,52.94
70.45,8.52,0,99.47,Higher,Medium,Yes,Yes,77.72,80.15
100.0,0.0,0,67.16,Higher,Low,No,Yes,85.67,65.38
41.03,0.0,1,89.79,Higher,High,No,Yes,59.68,36.98
62.82,2.07,3,90.21,none,Medium,Yes,Yes,36.13,59.3
36.27,3.85,2,30.7,Secondary,Medium,Yes,Yes,100.0,43.65
76.76,6.4,5,39.37,Secondary,Medium,No,Yes,100.0,26.6
,8.42,0,100.0,Secondary,High,Yes,Yes,59.18,74.54
14.38,2.13,3,56.18,Higher,Low,Yes,Yes,81.55,23.45
96.5,8.15,0,89.99,Secondary,Medium,Yes,Yes,100.0,93.2
82.78,15.0,0,80.35,Secondary,High,Yes,Yes,44.4,78.39
75.91,3.49,3,44.56,Secondary,Medium,Yes,Yes,83.73,65.67
43.95,6.36,2,28.47,none,High,Yes,Yes,46.03,59.82
94.3,8.45,3,37.18,Primary,High,No,No,62.07,58.53
100.0,10.92,5,41.49,Secondary,Low,Yes,Yes,43.01,54.91
64.81,0.0,1,88.38,Higher,Low,No,Yes,96.96,58.03
67.06,5.75,0,62.51,Secondary,Low,Yes,Yes,69.22,61.65
75.57,14.41,0,69.54,none,Medium,Yes,Yes,20.45,67.38
65.01,0.0,5,70.03,Primary,Low,No,Yes,70.13,48.35
70.55,4.65,3,43.01,Higher,Medium,Yes,Yes,52.02,62.99
100.0,8.99,0,53.84,Secondary,Medium,No,Yes,85.81,80.62
73.34,3.38,0,83.94,Primary,Medium,No,Yes,40.39,56.86
82.25,11.51,2,90.72,Secondary,High,Yes,No,92.25,83.22
100.0,3.84,0,100.0,Higher,Medium,Yes,No,88.78,98.65
100.0,9.94,1,72.54,Primary,Medium,No,Yes,85.42,81.62
48.83,9.64,1,90.27,Secondary,High,Yes,Yes,81.45,76.31
100.0,4.7,5,100.0,Secondary,Low,Yes,Yes,100.0,77.21
100.0,9.09,0,64.72,Secondary,High,Yes,Yes,74.07,100.0
100.0,3.02,5,97.74,none,Low,No,Yes,45.74,72.93
59.36,11.79,0,73.57,Higher,Low,No,Yes,81.1,79.0
80.29,11.43,2,71.83,Secondary,Low,No,Yes,41.36,62.0
65.21,14.53,3,44.97,Higher,High,Yes,No,97.32,80.48
78.03,13.02,5,80.52,Primary,Low,No,Yes,75.96,77.11
100.0,9.34,4,56.34,Secondary,Low,Yes,Yes,42.18,70.68
78.5,3.27,1,50.87,Secondary,Low,Yes,Yes,56.66,42.81
32.0,12.17,5,75.53,Higher,Low,Yes,Yes,64.45,66.64
65.67,9.69,3,74.68,Higher,Low,No,Yes,31.52,59.32
58.64,3.29,2,52.93,Secondary,High,No,Yes,72.21,40.86
100.0,5.31,1,42.27,Higher,High,Yes,Yes,53.99,67.46
54.67,5.95,2,77.69,Primary,Low,Yes,Yes,83.0,63.85
64.82,1.34,4,100.0,Higher,Medium,Yes,Yes,74.12,56.97
65.69,3.22,4,13.51,Secondary,Low,Yes,No,66.89,10.85
100.0,10.4,3,84.64,Higher,Medium,Yes,Yes,100.0,85.94
99.01,8.56,3,93.03,Higher,Medium,No,Yes,84.17,87.54
89.2,15.0,1,47.16,Secondary,High,No,Yes,34.23,49.0
80.82,2.11,3,100.0,Secondary,Low,Yes,Yes,100.0,80.6
80.38,5.97,1,69.69,Higher,Medium,No,No,70.5,69.9
76.9,5.11,3,85.36,Higher,Low,Yes,Yes,65.7,61.59
100.0,8.55,2,33.13,Secondary,Medium,Yes,Yes,90.79,80.87
43.32,5.01,1,93.35,Secondary,High,No,Yes,76.46,62.38
10.0,1.59,4,50.09,Secondary,Low,No,Yes,79.03,44.92
86.08,3.57,0,100.0,Secondary,Low,No,Yes,46.81,83.67
100.0,11.14,1,52.61,Higher,Low,No,No,78.24,73.51
79.64,3.75,1,54.4,Primary,Low,Yes,Yes,54.82,59.41
25.5,7.06,5,79.14,Secondary,Medium,Yes,Yes,78.14,60.35
93.65,5.74,1,79.88,Secondary,Low,No,Yes,33.11,59.0
48.38,3.2,1,74.13,Higher,Low,Yes,Yes,98.75,48.34
42.91,8.17,3,100.0,Higher,Low,Yes,Yes,42.51,52.68
50.56,9.71,3,74.51,Higher,Low,Yes,Yes,100.0,62.35
34.78,9.71,2,65.25,Higher,Low,Yes,Yes,100.0,33.68
80.08,6.34,2,100.0,Secondary,Medium,Yes,Yes,78.74,79.66
58.8,10.04,2,44.82,Secondary,Medium,No,Yes,100.0,45.89
41.74,0.94,0,100.0,Higher,High,No,Yes,53.96,45.01
100.0,4.35,1,37.29,Secondary,Low,No,Yes,66.65,60.49
61.72,5.33,1,29.72,Secondary,Medium,No,Yes,52.44,41.97
76.29,6.15,1,53.59,Secondary,High,Yes,No,91.59,55.69
100.0,13.06,0,47.83,Secondary,Medium,Yes,Yes,26.52,81.01
91.94,2.62,1,43.31,Secondary,High,No,Yes,56.23,51.15
100.0,3.53,5,35.95,Higher,Medium,Yes,Yes,100.0,68.81
57.6,4.15,1,100.0,Secondary,Low,No,Yes,61.08,59.76
100.0,9.62,0,56.27,Secondary,Medium,Yes,Yes,71.71,69.34
87.26,7.59,2,75.23,Higher,Medium,No,Yes,100.0,70.51
99.88,13.28,5,63.11,Primary,Low,Yes,Yes,100.0,98.21
96.11,5.34,2,53.58,Higher,Medium,Yes,Yes,87.61,66.25
55.7,7.97,3,100.0,Secondary,High,Yes,Yes,55.56,62.72
100.0,8.74,2,57.81,none,Low,Yes,Yes,78.58,69.01
18.48,1.56,1,45.73,none,High,Yes,Yes,93.03,44.28
53.39,5.69,3,45.1,none,High,No,Yes,99.09,54.62
92.03,5.09,3,83.54,Secondary,Medium,Yes,Yes,58.97,76.41
82.27,8.71,2,33.21,Secondary,Low,Yes,Yes,35.21,69.95
78.35,,5,73.73,Secondary,Low,No,Yes,100.0,60.35
92.89,3.67,0,70.73,Higher,Medium,No,Yes,74.72,59.95
53.93,8.27,0,55.64,Secondary,Low,Yes,No,52.39,52.97
96.0,4.98,1,98.84,Higher,Low,Yes,Yes,40.5,61.93
71.77,2.53,0,63.16,Secondary,Medium,Yes,Yes,100.0,65.57
100.0,4.08,3,100.0,Secondary,Low,No,Yes,63.16,85.21
67.38,7.32,0,100.0,Higher,Low,No,Yes,41.87,60.63
86.7,8.14,3,67.15,Secondary,Low,Yes,Yes,83.65,82.44
90.94,8.76,1,62.25,Secondary,Low,No,Yes,54.43,77.38
97.63,5.52,1,69.28,Primary,High,Yes,Yes,71.43,73.7
75.93,2.41,4,37.67,Higher,Medium,Yes,Yes,44.33,26.86
67.84,1.71,0,68.59,Higher,High,Yes,Yes,89.16,59.98
55.62,3.07,0,64.24,Secondary,Low,Yes,Yes,72.74,51.9
87.15,0.0,2,66.79,Higher,Low,No,Yes,77.84,51.5
27.57,3.6,2,72.37,Secondary,High,No,Yes,39.51,39.57
82.72,5.39,3,46.64,Secondary,Medium,Yes,Yes,72.88,62.91
84.58,0.0,2,52.67,Primary,Low,Yes,Yes,57.7,26.44
100.0,3.22,4,65.35,Secondary,Low,Yes,Yes,42.05,48.94
58.48,5.37,1,100.0,Higher,Low,No,Yes,72.84,94.23
79.69,10.34,2,88.67,none,Low,No,Yes,75.69,85.16
78.98,5.59,0,67.34,Secondary,High,Yes,Yes,83.41,61.1
47.35,14.02,1,55.13,Secondary,Medium,No,Yes,83.55,50.94
74.86,10.58,0,82.38,Higher,Low,Yes,Yes,76.78,72.58
41.46,5.1,3,55.39,Higher,Medium,Yes,No,53.39,43.69
99.07,1.48,3,72.88,Secondary,High,Yes,Yes,61.23,51.45
89.77,0.8,1,87.3,Secondary,Low,No,Yes,22.18,70.71
85.79,4.75,3,64.9,Higher,Medium,No,No,82.43,40.21
59.08,2.75,0,60.62,Secondary,Medium,No,Yes,61.62,55.81
100.0,9.22,2,53.89,Higher,Low,No,Yes,100.0,85.62
47.88,11.77,0,75.91,Higher,Medium,Yes,Yes,100.0,76.75
76.25,0.0,1,32.49,Primary,Medium,No,Yes,88.4,46.98
45.77,12.18,2,66.18,none,Low,Yes,Yes,90.94,80.08
70.42,15.0,1,47.92,Secondary,Low,No,Yes,100.0,95.0
100.0,6.9,3,55.43,Secondary,Medium,No,Yes,97.1,75.45
86.81,2.42,0,61.12,Higher,Low,No,Yes,67.5,61.96
51.97,7.22,3,67.75,Primary,Medium,Yes,Yes,26.56,35.94
61.95,6.39,1,91.88,Primary,High,No,Yes,57.17,53.57
65.51,9.45,1,79.52,Primary,High,No,Yes,100.0,73.3
54.14,4.64,0,80.1,Higher,Low,Yes,Yes,72.18,60.94
81.81,8.08,2,82.28,Secondary,High,Yes,Yes,100.0,67.83
100.0,5.86,1,78.61,Higher,Low,No,Yes,79.06,77.32
61.01,0.93,4,54.17,Primary,Medium,No,Yes,76.92,62.72
100.0,6.52,1,100.0,Secondary,Medium,Yes,Yes,100.0,91.27
74.91,4.53,0,83.76,Secondary,Low,No,Yes,39.84,74.58
83.05,4.64,2,100.0,Secondary,Low,Yes,Yes,58.1,85.03
81.52,1.72,0,100.0,Higher,Low,No,No,79.6,75.25
32.59,13.08,1,71.13,Secondary,Low,No,Yes,100.0,69.83
86.37,7.26,2,99.4,Secondary,Medium,Yes,Yes,100.0,69.64
14.2,7.36,1,65.83,Primary,Low,Yes,Yes,21.1,26.64
80.23,4.27,2,92.14,Higher,High,No,Yes,100.0,84.25
79.07,0.94,2,92.32,Primary,Low,No,Yes,88.21,53.8
36.63,0.48,3,52.23,Higher,Medium,No,No,78.17,18.09
76.62,4.53,0,57.06,Higher,Low,No,Yes,49.16,63.16
67.68,8.34,1,82.63,Secondary,Medium,No,Yes,100.0,77.74
71.16,9.57,3,63.05,Secondary,High,No,Yes,100.0,82.48
71.41,2.16,5,35.11,Secondary,Medium,No,No,36.25,27.48
60.27,0.0,3,97.97,Secondary,High,No,Yes,59.61,51.97
76.89,8.56,2,81.12,Primary,Medium,Yes,No,68.61,66.97
,3.29,3,31.25,Primary,Medium,Yes,No,39.25,44.91
69.03,8.06,3,100.0,Secondary,Low,Yes,Yes,50.93,71.31
73.74,8.32,0,88.51,Higher,Low,No,No,91.02,63.78
91.23,7.96,4,98.1,Primary,High,No,Yes,73.98,78.72
100.0,5.45,0,56.87,Primary,Low,No,Yes,31.69,54.18
70.18,14.88,2,76.84,Primary,Low,No,Yes,86.93,53.42
32.44,0.0,1,36.28,Secondary,Medium,Yes,Yes,94.99,39.03
52.58,,4,75.9,Secondary,High,No,Yes,96.92,26.85
90.06,0.0,4,54.87,Secondary,High,Yes,Yes,100.0,56.69
100.0,4.8,3,59.41,Secondary,Low,Yes,No,57.67,67.28
51.36,6.16,5,92.75,Secondary,Low,Yes,No,54.49,39.26
73.91,0.0,3,100.0,Secondary,Low,Yes,Yes,59.16,44.97
75.48,,0,67.21,Higher,High,Yes,Yes,77.04,84.49
55.78,12.11,4,82.99,Higher,High,No,No,78.15,69.09
100.0,7.93,1,78.85,Secondary,Low,No,Yes,63.23,67.39
100.0,7.28,0,44.91,Higher,Low,Yes,Yes,49.13,66.58
83.6,0.0,2,51.21,Higher,Low,No,Yes,75.31,45.15
64.5,4.84,0,83.9,Secondary,Low,Yes,Yes,84.24,62.92
98.91,5.48,3,100.0,none,Low,Yes,Yes,68.16,78.65
87.85,10.53,4,95.35,Secondary,Medium,No,Yes,56.53,91.19
64.07,3.2,4,71.89,Secondary,Low,No,Yes,100.0,58.09
99.29,10.41,3,90.37,Primary,Low,No,Yes,49.98,54.44
84.23,9.53,2,54.23,none,High,Yes,Yes,86.01,79.77
33.48,9.0,3,71.76,Secondary,Medium,Yes,Yes,82.71,54.33
50.19,6.91,0,78.12,Secondary,Medium,Yes,Yes,58.3,66.09
41.77,0.0,4,79.04,Primary,Low,No,Yes,38.06,34.78
100.0,7.29,1,93.32,Secondary,Medium,No,Yes,38.34,81.67
57.45,12.39,4,56.32,Secondary,High,No,Yes,65.61,75.0
,9.22,1,86.25,Higher,Low,Yes,Yes,66.06,62.41
100.0,10.75,0,38.85,Primary,Low,Yes,Yes,73.22,60.02
94.85,0.82,3,96.18,Primary,High,No,Yes,71.39,59.06
64.53,2.22,4,54.76,Higher,Low,Yes,Yes,63.38,42.4
56.41,4.25,0,79.49,Secondary,High,Yes,Yes,100.0,54.11
67.34,10.01,0,30.97,Primary,Medium,No,Yes,51.28,53.64
49.31,7.68,2,63.11,Higher,Low,Yes,Yes,96.34,55.79
46.39,8.91,1,46.48,Secondary,Medium,No,Yes,61.54,57.04
54.88,6.36,2,81.88,Higher,Medium,Yes,Yes,52.25,63.48
88.31,6.32,1,88.36,Secondary,High,Yes,Yes,57.47,75.93
61.98,0.0,3,66.89,Secondary,Medium,Yes,Yes,82.49,35.46
69.37,1.07,1,60.61,Secondary,Medium,Yes,Yes,47.05,51.89
86.73,7.98,3,83.05,Secondary,Low,No,Yes,100.0,78.03
93.18,0.0,1,100.0,Higher,High,No,Yes,100.0,59.82
26.77,5.59,2,69.84,Higher,High,No,Yes,92.61,59.44
31.92,4.83,0,50.17,Higher,High,No,Yes,100.0,56.03
65.35,11.58,0,100.0,Secondary,Low,No,No,100.0,100.0
47.13,7.76,0,90.58,Secondary,Low,Yes,Yes,85.3,84.12
96.36,10.07,0,63.03,Secondary,Low,No,Yes,79.79,91.44
63.4,7.26,3,65.16,Secondary,Low,No,Yes,86.24,72.06
100.0,10.21,0,68.48,none,Low,Yes,No,83.89,77.63
,8.81,2,84.2,Higher,Low,No,Yes,100.0,76.96
82.72,2.14,0,87.32,Secondary,Low,No,Yes,84.77,78.73
58.32,5.81,3,100.0,Higher,Low,No,Yes,37.76,47.39
87.19,3.32,1,61.97,Secondary,Low,Yes,Yes,60.32,50.98
87.74,8.61,0,63.87,Higher,High,Yes,Yes,78.84,93.45
97.19,7.84,2,45.63,Secondary,Low,No,No,74.86,58.51
71.64,3.6,0,58.77,Secondary,Low,No,Yes,61.84,59.39
100.0,7.99,1,96.5,Secondary,Low,No,Yes,57.32,91.14
82.49,1.98,4,29.03,Secondary,Medium,Yes,No,80.79,66.47
58.92,6.27,2,25.02,Secondary,High,No,No,48.47,55.97
59.1,6.35,4,50.24,Higher,Low,Yes,Yes,70.21,52.57
93.22,5.82,0,100.0,Secondary,High,Yes,Yes,62.78,89.9
100.0,0.0,0,40.37,Secondary,Low,No,Yes,77.63,49.92
46.95,10.87,2,62.11,Secondary,Low,No,Yes,98.77,55.16
93.77,0.0,2,94.5,Secondary,High,No,Yes,72.31,68.41
37.84,6.33,3,100.0,Primary,Low,No,Yes,71.99,47.88
59.56,6.15,5,100.0,Secondary,Medium,Yes,Yes,100.0,51.84
87.24,0.0,3,53.15,Higher,Low,No,Yes,98.37,45.68
53.81,10.35,0,46.47,Secondary,Medium,Yes,No,46.11,56.46
100.0,3.58,0,55.34,Secondary,High,No,Yes,71.89,63.09
90.21,8.14,0,67.13,Secondary,High,No,Yes,100.0,75.58
45.46,7.46,3,100.0,none,Low,No,Yes,64.81,45.22
91.39,3.92,0,100.0,Secondary,Low,Yes,Yes,39.1,72.26
41.99,1.57,2,71.04,Secondary,High,Yes,Yes,80.91,55.14
75.09,0.24,2,43.47,Secondary,Low,No,Yes,45.49,42.45
96.93,4.44,0,81.25,Secondary,Low,No,Yes,68.97,82.66
92.73,12.55,3,100.0,Secondary,Low,No,Yes,100.0,91.06
72.84,7.62,2,100.0,Secondary,Medium,Yes,Yes,100.0,73.37
66.39,10.64,3,86.86,Secondary,Medium,No,Yes,42.85,77.4
46.05,6.31,0,66.19,Secondary,Medium,No,Yes,85.9,69.52
79.56,3.74,0,98.06,Secondary,Low,No,No,65.71,56.73
95.11,6.25,0,29.1,Higher,Low,Yes,Yes,64.67,61.55
100.0,5.7,1,48.68,Secondary,High,No,Yes,61.8,63.49
63.6,0.0,2,57.64,Secondary,Low,No,Yes,100.0,30.35
,7.03,2,66.18,Higher,Medium,Yes,Yes,62.43,52.18
94.11,1.64,4,92.13,none,Low,No,No,79.9,66.75
63.09,0.7,4,86.1,Secondary,Medium,Yes,Yes,53.58,35.76
93.02,6.22,0,79.8,Secondary,High,No,Yes,71.82,83.66
54.59,7.67,0,84.75,Primary,Low,Yes,Yes,89.12,86.38
81.43,6.13,2,89.81,Secondary,Low,No,Yes,35.49,61.04
69.72,6.29,1,83.5,Higher,High,Yes,Yes,90.58,59.75
86.09,6.17,0,55.29,Secondary,Low,Yes,No,100.0,67.36
88.08,4.62,0,50.16,Secondary,Low,Yes,Yes,44.85,66.88
61.78,4.49,2,55.17,Secondary,Medium,No,Yes,37.29,51.5
74.76,6.61,3,77.41,Secondary,Medium,Yes,Yes,100.0,85.67
71.78,8.23,0,30.62,Secondary,Low,No,Yes,57.29,47.56
47.76,4.74,5,78.81,Secondary,High,No,Yes,100.0,51.59
65.76,0.0,0,51.65,Secondary,Low,No,Yes,100.0,50.85
60.52,6.2,2,46.57,Secondary,High,Yes,Yes,86.39,56.84
46.82,5.05,3,82.3,Secondary,Medium,Yes,Yes,76.63,49.95
54.9,6.12,0,46.06,Secondary,Medium,Yes,Yes,100.0,53.5
68.54,4.76,4,68.03,none,High,Yes,Yes,43.87,55.27
76.38,3.75,3,99.22,Higher,Low,No,Yes,100.0,65.31
43.91,11.29,3,36.12,Secondary,High,No,Yes,58.75,42.71
100.0,2.53,0,100.0,none,Low,No,Yes,75.7,74.69
90.33,13.66,0,100.0,Higher,Low,No,Yes,70.58,90.14
72.87,3.0,0,45.33,Higher,Medium,Yes,Yes,62.45,55.7
44.53,4.66,2,15.33,Secondary,Low,No,Yes,69.51,25.37
69.69,8.73,4,53.75,Secondary,Medium,No,No,78.36,60.14
68.17,11.86,1,98.08,Secondary,Low,Yes,Yes,76.33,81.37
47.99,9.14,2,38.15,Secondary,High,No,Yes,68.39,62.45
45.96,11.91,5,32.41,Primary,Medium,No,No,100.0,46.9
94.16,8.94,3,91.5,Primary,High,Yes,No,54.99,87.21
66.9,3.49,4,13.14,Secondary,High,No,Yes,68.82,41.65
97.14,10.41,4,46.88,Secondary,Medium,No,Yes,72.11,67.12
74.67,0.0,1,80.24,Higher,Low,No,Yes,97.1,60.86
93.79,8.88,0,85.26,Higher,Low,No,Yes,100.0,94.02
92.96,8.67,0,100.0,Secondary,Medium,Yes,No,87.03,89.77
86.67,9.89,3,66.2,Higher,Low,No,Yes,64.8,74.07
100.0,3.4,0,72.32,Secondary,Medium,No,Yes,91.46,75.01
77.51,3.29,0,52.27,Higher,Low,Yes,Yes,89.81,49.65
37.63,0.93,2,65.46,Secondary,Low,Yes,Yes,80.27,24.55
41.62,5.66,3,50.82,Secondary,High,Yes,Yes,100.0,52.89
58.68,3.93,3,100.0,Higher,Low,No,Yes,87.11,58.33
93.55,2.38,0,100.0,Secondary,Medium,Yes,No,81.48,65.98
65.0,0.0,1,69.51,Secondary,Medium,No,Yes,59.17,56.77
80.13,5.31,0,87.07,Higher,Medium,Yes,Yes,43.76,51.77
88.39,4.73,1,100.0,Secondary,High,Yes,Yes,98.72,68.48
79.11,7.42,1,37.46,Secondary,Low,Yes,Yes,79.25,65.43
17.72,1.79,1,89.49,Secondary,Low,No,Yes,87.79,53.93
45.33,0.31,1,80.02,Secondary,Medium,Yes,Yes,38.14,34.56
100.0,5.43,3,71.72,Secondary,Low,Yes,Yes,55.78,68.46
83.15,10.83,0,75.94,Secondary,Low,No,Yes,47.98,93.29
10.0,14.12,1,76.17,Higher,Medium,Yes,Yes,93.73,65.23
76.74,4.31,4,49.68,Secondary,Low,Yes,Yes,11.89,69.72
100.0,3.97,0,84.47,Secondary,Low,Yes,Yes,100.0,81.76
81.84,0.0,2,46.01,Secondary,High,Yes,Yes,83.19,57.96
76.11,7.62,2,94.96,Higher,Medium,No,Yes,89.35,70.17
29.29,3.28,1,69.78,Secondary,Medium,Yes,Yes,51.25,51.08
68.23,3.51,3,62.53,Secondary,Low,Yes,Yes,44.54,41.63
33.92,4.99,0,95.68,Secondary,Low,No,Yes,80.32,46.89
44.44,10.03,0,16.44,Secondary,Low,Yes,Yes,80.31,48.23
38.72,6.9,1,34.29,Higher,Low,No,Yes,43.29,43.3
100.0,8.53,1,98.18,Higher,Low,No,No,84.14,72.24
93.2,12.73,0,89.48,Primary,High,No,Yes,75.46,93.02
100.0,3.05,2,44.08,Higher,Low,Yes,Yes,100.0,73.65
41.91,8.88,1,77.37,Higher,Low,No,Yes,32.83,49.64
79.77,4.37,1,100.0,Primary,High,No,Yes,75.15,68.86
49.8,1.86,0,53.34,Higher,Medium,Yes,Yes,100.0,46.52
52.47,6.38,3,68.16,Secondary,Low,No,Yes,94.83,57.1
86.74,10.9,4,100.0,none,High,No,Yes,90.78,70.65
79.47,8.64,1,70.82,Secondary,Low,Yes,Yes,68.39,64.19
82.16,2.68,3,63.65,Primary,Low,Yes,Yes,67.52,32.86
43.6,1.54,4,72.82,Higher,Low,No,Yes,13.26,36.85
,6.77,1,67.81,Secondary,Medium,No,Yes,39.81,79.8
83.69,5.49,3,100.0,Higher,Low,No,Yes,89.9,77.83
,0.95,5,100.0,Secondary,Low,No,Yes,80.27,50.96
68.2,9.05,1,100.0,Higher,Low,No,Yes,94.53,100.0
33.87,3.5,0,61.65,Secondary,Medium,No,Yes,100.0,38.48
21.11,3.94,1,71.81,none,Low,Yes,Yes,34.19,56.6
100.0,10.76,3,89.77,Secondary,Low,No,Yes,94.62,72.68
80.12,6.19,2,100.0,Primary,Medium,No,No,37.42,64.23
66.03,9.72,1,64.5,Higher,Low,No,Yes,70.61,62.7
94.96,7.53,2,100.0,Higher,Low,Yes,Yes,27.82,62.24
53.25,11.53,2,98.28,Primary,High,Yes,Yes,100.0,74.68
77.75,0.0,0,46.04,Higher,High,Yes,Yes,66.21,52.19
100.0,10.13,4,26.86,none,Low,No,Yes,100.0,66.28
47.45,9.44,0,100.0,Primary,Low,No,Yes,80.04,84.02
62.7,6.2,2,100.0,Secondary,Low,No,Yes,100.0,89.23
40.48,5.32,2,100.0,Secondary,Medium,No,Yes,86.81,56.77
95.88,6.0,1,100.0,Secondary,Medium,No,Yes,50.21,80.98
80.13,0.0,2,73.31,Secondary,Low,No,Yes,45.59,32.9
